joke_num,text,true_label,llm_classification,confidence,llm_personal_funny,funniness,offensiveness,originality,appropriateness,clarity,upvotes,downvotes,score
57,"Hawala or hewala ( , meaning transfer or sometimes trust), also known as in Persian, and or in Somali, is a popular and informal value transfer system based not on the movement of cash, or on telegraph or computer network wire transfers between banks, but instead on the performance and honour of a huge network of money brokers (known as hawaladars)",False,YES,8,NO,1,1,1,10,8,,,
58,"Donald Ervin Knuth ( ; born January 10, 1938) is an American computer scientist, mathematician, and professor emeritus at Stanford University",False,NO,10,NO,1,1,1,10,10,,,
59,Stranger Danger What’s the best thing about paedophiles…. They drive slow past schools,True,NO,10,NO,2,8,4,1,6,4.0,0.0,4.0
60,"Jorge Francisco Isidoro Luis Borges Acevedo (; ; 24 August 1899 – 14 June 1986) was an Argentine short-story writer, essayist, poet and translator, and a key figure in Spanish-language and international literature",False,NO,10,NO,1,1,1,10,10,,,
61,"Dude was telling me about a woman he found tied to the train tracks… He quickly untied her and carried the woman to safety where they had wild sex. I asked her if he got any head. He said “no, I couldn’t find it.”",True,YES,10,YES,8,6,7,2,9,7.0,0.0,7.0
62,Events Pre-1600 29 BC – Octavian holds the first of three consecutive triumphs in Rome to celebrate the victory over the Dalmatian tribes,False,YES,10,YES,1,1,1,10,10,,,
63,"My wife, being unhappy with my mood swings, bought me one of these mood rings so she could monitor my mood. We discovered that, when I am in a good mood, it turns green and, when I am in a bad mood, it leaves a big fucking red mark on her forehead.",True,YES,10,YES,8,6,7,2,9,2.0,0.0,2.0
64,"Little boy with diarrhea A little boy says to his mother, ""Mommy, I have diarrhea can I have a Viagra?"" Mother replies, ""What?!"" Boy says, ""I have diarrhea, can I take a Viagra?"" Mother replies, ""You have diarrhea? Why would you want a Viagra??!"" Boy says, ""Well, isn't that what you give daddy to make his shit hard?""",True,YES,10,YES,8,6,7,2,9,15.0,0.0,15.0
65,"An emperor (from , via ) is a monarch, and usually the sovereign ruler of an empire or another type of imperial realm",False,YES,10,YES,1,1,1,10,10,,,
66,I'm not racist. Racism is a crime and crime is for black people.,True,YES,10,YES,1,10,2,1,8,5.0,0.0,5.0
67,"Motala ström is the river system that drains lake Vättern, the second largest lake in Sweden, into the Baltic Sea in Norrköping",False,NO,10,NO,1,1,1,10,10,,,
68,"Carinatae is the group of all birds and their extinct relatives to possess a keel, or ""carina"", on the underside of the breastbone used to anchor large flight muscles",False,NO,10,NO,1,1,1,10,8,,,
69,Twin towers What is the twin towers favourite flavoured crisps? Plain,True,NO,10,NO,8,6,7,4,9,3.0,0.0,3.0
70,What do you throw a drowning mexican? his wife and kids,True,NO,8,NO,2,9,1,1,8,6.0,0.0,6.0
71,"Garry Kimovich Kasparov (Russian: Гарри Кимович Каспаров, Russian pronunciation: [ˈɡarʲɪ ˈkʲiməvʲɪtɕ kɐˈsparəf], born Garik Kimovich Weinstein, Гарик Кимович Вайнштейн; 13 April 1963) is a Russian chess grandmaster, former World Chess Champion, writer, political activist and commentator",False,NO,8,NO,1,1,1,10,10,,,
72,"Aalen () is a former Free Imperial City located in the eastern part of the German state of Baden-Württemberg, about east of Stuttgart and north of Ulm",False,NO,8,NO,1,1,1,10,10,,,
73,ColecoVision is a second-generation home video-game console developed by Coleco and launched in North America in August 1982,False,NO,10,NO,1,1,1,10,10,,,
74,Another major school shooting in Texas... They say a child's coffin is the heaviest. Especially the ones with lead in them.,True,NO,10,NO,2,9,6,1,8,8.0,0.0,8.0
75,Sorry to all the autistics. What do you call a autistic kid with a gun. Special Forces.,True,NO,10,NO,2,8,4,2,6,7.0,0.0,7.0
76,The invisible balance or balance of trade on services is that part of the balance of trade that refers to services and other products that do not result in the transfer of physical objects,False,NO,10,NO,1,1,1,10,8,,,
77,"Agricultural science (or agriscience for short) is a broad multidisciplinary field of biology that encompasses the parts of exact, natural, economic and social sciences that are used in the practice and understanding of agriculture",False,NO,10,NO,1,1,1,10,8,,,
78,What's the preferred footwear for child abducting sex traffickers? Dark colored VANS.,True,NO,10,NO,2,9,6,1,8,9.0,0.0,9.0
79,"Edward John Moreton Drax Plunkett, 18th Baron of Dunsany (; 24 July 1878 – 25 October 1957, usually Lord Dunsany) was an Anglo-Irish writer and dramatist",False,NO,10,NO,1,1,1,10,10,,,
80,"Feminism is a range of socio-political movements and ideologies that aim to define and establish the political, economic, personal, and social equality of the sexes",False,NO,10,NO,1,1,1,10,10,,,
81,"Events Pre-1600 62 – Earthquake in Pompeii, Italy",False,NO,10,NO,1,1,1,10,10,,,
82,How to know when you’ve gone too far You run out of petrol when trying to dispose of the body in the boot of your car and you’re no where near a gas station!!,True,YES,10,YES,8,6,7,4,9,4.0,0.0,4.0
83,Eiffel is an object-oriented programming language designed by Bertrand Meyer (an object-orientation proponent and author of Object-Oriented Software Construction) and Eiffel Software,False,YES,10,YES,1,1,1,10,10,,,
84,"A Sick Modern Take on The Three Bears Goldilad enters a cottage. Sees porridge .. fuck that! Notices Great, Huge Daddy Bear's sex doll. ... It's way too fucked up. Notices Middle Mummy Bear's fucking machine. ... It's looks painful. And then he sees Little, Small, Wee Bear all alone in bed.",True,YES,10,YES,2,8,6,1,4,3.0,0.0,3.0
85,The Hawker Harrier was an experimental biplane torpedo bomber aircraft built by Hawker Aircraft to a specification issued in the 1920s for the RAF,False,NO,10,NO,1,1,1,10,10,,,
86,Yep it's just you Jaxon is NOT a hoax REALLY!!!!! Some of us know the family and he is real.,True,NO,10,NO,2,1,1,8,6,3.0,0.0,3.0
87,"The Book of Esther (Hebrew: , Megillat Esther), also known in Hebrew as ""the Scroll"" (Megillah), is a book in the third section (Ketuvim, ""Writings"") of the Jewish Tanakh (the Hebrew Bible)",False,NO,10,NO,1,1,1,10,8,,,
88,"Icehenge is a science fiction novel by American author Kim Stanley Robinson, published in 1984",False,NO,10,NO,1,1,1,10,10,,,
89,What's the difference between a hippy girl and a hockey player? A hokey players shower after 3 periods,True,NO,10,NO,8,2,6,8,9,16.0,0.0,16.0
90,what do you call 4 mexicans sinking? quatro cinco,True,NO,10,NO,2,8,1,2,6,7.0,0.0,7.0
91,The European Convention on Human Rights (ECHR; formally the Convention for the Protection of Human Rights and Fundamental Freedoms) is an international convention to protect human rights and political freedoms in Europe,False,NO,10,NO,1,1,1,10,10,,,
92,"Benjamin Franklin ( April 17, 1790) was an American polymath who was active as a writer, scientist, inventor, statesman, diplomat, printer, publisher and political philosopher",False,NO,10,NO,1,1,1,10,10,,,
93,Why did the sperm cross the road? My 7 year old was walking to school,True,NO,10,NO,8,6,9,2,7,6.0,0.0,6.0
94,The economy of American Samoa is a traditional Polynesian economy in which more than 90% of the land is communally owned,False,NO,10,NO,1,1,1,10,10,,,
95,The accusative case (abbreviated ) of a noun is the grammatical case used to mark the direct object of a transitive verb,False,NO,10,NO,1,1,1,10,8,,,
96,"Lithium carbonate is an inorganic compound, the lithium salt of carbonate with the formula",False,NO,10,NO,1,1,1,10,10,,,
97,"The Bundestag (, ""Federal Diet"") is the German federal parliament",False,NO,10,NO,1,1,1,10,10,,,
98,"Ettore Ximenes (11 April 1855, Palermo 20 December 1926, Rome) was an Italian sculptor",False,NO,10,NO,1,1,1,10,10,,,
99,"It must be true when people say ""You are what you eat"" because Jimmy Saville was an imature cunt.",True,NO,10,NO,2,9,2,1,8,4.0,0.0,4.0
100,"AIX (Advanced Interactive eXecutive, pronounced , “ay-eye-ex”) is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms",False,NO,10,NO,1,1,1,10,8,,,
101,What do you do if you come across a tiger in the Jungle? Wipe it off and apologise.,True,NO,10,NO,8,1,9,9,8,3.0,0.0,3.0
102,My Mates Kept On Begging Me To Do Meat Loaf Jokes But I Won't Do That!,True,NO,10,NO,6,1,7,9,8,3.0,0.0,3.0
103,Did you know Paul Walker had dandruff Neither did I until I saw his head and shoulders on his dashboard,True,YES,10,YES,8,6,7,4,9,14.0,0.0,14.0
104,"Mychal Fallon Judge, O",False,YES,10,YES,1,1,1,10,2,,,
105,The British Open is the Open Championship men's golf tournament,False,YES,10,YES,1,1,1,10,10,,,
106,How do you know you're at a gay bbq? Hotdogs taste like shit.,True,YES,8,NO,2,8,1,2,6,11.0,0.0,11.0
107,Koalang is a term coined by Janusz A,False,YES,8,NO,1,1,2,10,1,,,
108,How can you tell when your sister is on her period? When your dad’s dick tastes funny,True,YES,8,NO,2,9,1,1,8,8.0,0.0,8.0
109,How many babies does it take to paint a wall Depends how hard you throw them,True,YES,10,YES,6,8,7,2,9,17.0,0.0,17.0
110,"Mother of all F**k Ups A mother hears her son and daughter making a commotion upstairs. A bit concerned she goes to see what’s going on, only to find her son fingering his younger sister. Absolutely incensed at what she’s witnessing, she grabs her son and shouts ‘You’d better be able to tell me something which makes this ok” Without a pause the young boy turns to his mum and says ‘I’ve found dad’s wedding ring.”",True,YES,10,YES,8,9,7,2,9,8.0,0.0,8.0
111,Not sure how sick is acceptable before I say anything. How much is too much?,True,YES,10,YES,2,1,2,8,6,2.0,0.0,2.0
112,"Conrad II may refer to: Conrad II, Duke of Transjurane Burgundy () Conrad II, Holy Roman Emperor (c",False,NO,10,NO,1,1,1,10,8,,,
113,"Felidae () is a family of mammals in the order Carnivora, colloquially referred to as cats, and constitutes a clade",False,NO,10,NO,1,1,1,10,10,,,
114,New York City (NYC) is the most populous city in the United States,False,NO,10,NO,1,1,1,10,10,,,
115,Ajaigarh or Adjygurh is a town and a nagar panchayat in the Panna District of Madhya Pradesh state in central India,False,NO,10,NO,1,1,1,10,10,,,
116,"DKW (Dampf-Kraft-Wagen, , also Deutsche Kinder-Wagen",False,NO,10,NO,2,1,4,10,8,,,
117,A company is a group of more than one persons to carry out an enterprise and so a form of business organization,False,NO,10,NO,1,1,1,10,10,,,
118,S What u call a fish with cancer/////////// finding chemo,True,YES,10,YES,8,2,6,7,9,4.0,0.0,4.0
119,What’s the most dangerous thing in Ukraine if your flies undone? Cherknob’ll Fallout,True,YES,10,YES,6,2,8,6,7,15.0,0.0,15.0
120,"Alexandra () is the feminine form of the given name Alexander (, )",False,YES,10,YES,1,1,1,10,10,,,
121,"Michael Lee Aday (born Marvin Lee Aday; September 27, 1947 – January 20, 2022), known professionally as Meat Loaf, was an American singer and actor",False,NO,10,NO,1,1,1,10,10,,,
122,Why was the guitar sent to jail for life? He plucked A Minor with a G string,True,NO,10,NO,8,1,7,9,8,11.0,0.0,11.0
123,My kids suck me off daily.,True,NO,10,NO,2,8,1,2,6,7.0,0.0,7.0
124,A girl went to a costume party wearing only a Tampon. It was a PERIOD costume! 2 Basket Ball Players were on trial for rape. There Lawyer got the charge reduced to a double-dribble.,True,YES,10,YES,6,8,7,2,8,2.0,0.0,2.0
125,"Adelaide ( ) is the capital city of South Australia, the state's largest city and the fifth-most populous city of Australia",False,YES,10,YES,1,1,1,10,10,,,
126,Telecommunications in Eritrea are under the authority of the Government of Eritrea,False,YES,10,YES,1,1,1,10,10,,,
127,Where did Jamal go during the airstrike? Everywhere,True,YES,10,YES,8,2,9,6,7,5.0,0.0,5.0
128,"A musical ensemble, also known as a music group or musical group, is a group of people who perform instrumental or vocal music, with the ensemble typically known by a distinct name",False,YES,10,YES,1,1,1,10,10,,,
129,"This morning on the way to work I drove into the back of a car, at some lights, whilst not really paying attention. The driver got out and he was a dwarf. He said, ""I'm not happy."" I replied, ""Well, which one are you then?""",True,YES,10,YES,8,6,7,4,9,5.0,0.0,5.0
130,What do a homeless woman and an American football player have in common? They both take off their pads after four periods,True,YES,10,YES,8,6,7,4,9,6.0,0.0,6.0
131,What's worse than finding a worm in your apple? Being raped,True,YES,10,YES,1,10,2,1,8,6.0,0.0,6.0
132,"Trieste is a Swiss-designed, Italian-built deep-diving research bathyscaphe which reached a record depth of about in the Challenger Deep of the Mariana Trench near Guam in the Pacific",False,YES,10,YES,1,1,1,10,8,,,
133,"""Little Boy"" was the codename for the type of atomic bomb dropped on the Japanese city of Hiroshima on 6 August 1945 during World War II",False,NO,10,NO,1,1,1,10,10,,,
134,"Nazi's should've called it the ""Bergen-Belsen Bunsen Burner""",True,NO,10,NO,2,8,6,2,8,2.0,0.0,2.0
135,What stoped the bullet from penatrating the crippled womans chest? a baby.,True,NO,10,NO,2,8,6,2,8,3.0,0.0,3.0
136,What does 9 out of every 10 people enjoy? Gang rape,True,NO,1,NO,1,10,2,1,8,6.0,0.0,6.0
137,Sick joke alert. What's the hardest part of running through a field of dead babies ? My erection.,True,NO,1,NO,2,9,1,1,8,12.0,0.0,12.0
138,"Flamenco (), in its strictest sense, is an art form based on the various folkloric music traditions of southern Spain, developed within the gitano subculture of the region of Andalusia, but also having a historical presence in Extremadura and Murcia",False,NO,1,NO,1,1,1,10,8,,,
139,Telecommunications in France are highly developed,False,NO,10,NO,1,1,1,10,10,,,
140,"A motel, also known as a motor hotel, motor inn or motor lodge, is a hotel designed for motorists, usually having each room entered directly from the parking area for motor vehicles rather than through a central lobby",False,NO,10,NO,1,1,1,10,10,,,
141,What do you call a dead baby nailed to the wall? Art.,True,NO,10,NO,2,9,6,1,8,9.0,0.0,9.0
142,"The Lockheed AC-130 gunship is a heavily armed, long-endurance, ground-attack variant of the C-130 Hercules transport, fixed-wing aircraft",False,NO,10,NO,1,1,1,10,10,,,
143,"Have you ever noticed that it's only 'perfect' people who are murdered or killed in horrific accidents? ""He was the perfect son"" or ""She was the perfect daughter."" ""Such a tragic accident they were the perfect family."" ""They died together, the perfect couple till the end."" Makes me glad I abuse my kids and beat up my wife. Kind of makes me immortal.",True,NO,10,NO,2,9,6,1,8,6.0,0.0,6.0
144,This article considers transport in Armenia,False,NO,10,NO,1,1,1,10,10,,,
145,"Leo is one of the constellations of the zodiac, lying between Cancer the crab to the west and Virgo the maiden to the east",False,NO,10,NO,1,1,1,10,10,,,
146,"Game night Mommy mommy, l just got raped in prison! Daddys taking monopoly way too serious!",True,NO,10,NO,8,6,7,2,9,15.0,0.0,15.0
147,"Ken Elton Kesey (September 17, 1935 – November 10, 2001) was an American novelist, essayist and countercultural figure",False,NO,10,NO,1,1,1,10,10,,,
148,Have you seen Stevie Wonder’s new house ? Neither has he.,True,YES,10,YES,8,2,6,8,7,8.0,0.0,8.0
149,"Moravia ( , also , ; ; ; ; ; ) is a historical region in the east of the Czech Republic and one of three historical Czech lands, with Bohemia and Czech Silesia",False,YES,10,YES,1,1,1,10,10,,,
150,"Run run as fast as you can, you can't catch me I'm... Madeleine McCann",True,YES,10,YES,2,9,1,1,8,20.0,0.0,20.0
151,Call of Cthulhu is a horror fiction role-playing game based on H,False,NO,2,NO,1,1,1,10,8,,,
152,What is the best thing about fucking twenty eight year olds? That there are twenty of them,True,NO,2,NO,2,8,6,2,8,23.0,0.0,23.0
153,What do you call 250 Native Americans with bilateral mastectomies ? The Indian Nipple-less 500,True,NO,2,NO,2,8,4,2,6,6.0,0.0,6.0
154,"Hi all, looking for new members for the necrophilia society.. Our motto ""Crack open a cold one""",True,YES,10,NO,2,8,6,1,8,10.0,0.0,10.0
155,Time Q - What do you call a time travel vehicle for special needs people ? A - The Retardis,True,YES,10,NO,2,8,6,2,8,3.0,0.0,3.0
156,"Why was the piano laughing? He had been with five 9 year olds in one day, and they all ran their hands up and down the full width of its body.",True,YES,10,NO,6,2,8,7,9,9.0,0.0,9.0
157,"Undertaker I used to work for an undertaker. One day I caught the manager molesting a young woman. Initially I was shocked , but relieved when I realised she had already been dead for 2 days",True,YES,10,YES,8,8,9,2,7,7.0,0.0,7.0
158,Why should you avoid eating out your girlfriend the morning after sex? Ever try pulling apart a grilled cheese sandwich?,True,YES,10,YES,8,6,7,4,9,6.0,0.0,6.0
159,How do you stop a Jew from drowning? Take your foot off his head. How do you stop an African from drowning? Take your foot off his head. How do you stop an Asian from drowning? Take your foot off his head. For fucks sake stop stepping on peoples heads,True,YES,10,YES,8,6,9,2,8,6.0,0.0,6.0
160,"Master of Puppets is the third studio album by the American heavy metal band Metallica, released on March 3, 1986, by Elektra Records",False,NO,10,NO,1,1,1,10,10,,,
161,An automatic number announcement circuit (ANAC) is a component of a central office of a telephone company that provides a service to installation and service technicians to determine the telephone number of a line,False,NO,10,NO,1,1,1,10,8,,,
162,How do you know when your sister's on her period? Because your Dad's cock tastes like blood.,True,NO,10,NO,2,9,1,1,8,18.0,0.0,18.0
163,"Smeagal arrives at Auschwitz, he walks up to Jakub and asks, “So, how do we pick up hot women around here?” Smeagal looks at him and responds “with a dustpan and broom.”",True,YES,10,NO,2,8,6,1,8,6.0,0.0,6.0
164,Doom is a 1993 first-person shooter (FPS) game developed by id Software for MS-DOS,False,YES,10,NO,1,1,1,10,10,,,
165,"Cytosine () (symbol C or Cyt) is one of the four nucleobases found in DNA and RNA, along with adenine, guanine, and thymine (uracil in RNA)",False,YES,10,NO,1,1,1,10,8,,,
166,"A manuscript (abbreviated MS for singular and MSS for plural) was, traditionally, any document written by hand – or, once practical typewriters became available, typewritten – as opposed to mechanically printed or reproduced in some indirect or automated way",False,NO,10,NO,1,1,1,10,8,,,
167,"Costa Rica is an active member of the international community and, in 1983, claimed it was for neutrality",False,NO,10,NO,2,1,4,8,6,,,
168,The Burgundians (; ; ; ) were an early Germanic tribe or group of tribes,False,NO,10,NO,1,1,1,10,10,,,
169,What do you do if Someone has a seizure in in your bathtub?,True,YES,10,NO,2,1,6,8,7,5.0,0.0,5.0
170,"How is Napoleon different from the Austin bomber? How is Napoleon different from the Austin bomber? ... Napoleon was Bonaparte, the Austin bomber was blown-apart.",True,YES,10,NO,8,6,7,4,9,2.0,0.0,2.0
171,"In gridiron football, a lateral pass or lateral (officially backward pass in American football and onside pass in Canadian football) occurs when the ball carrier throws the football to a teammate in a direction parallel to or away from the opponents' goal line",False,YES,10,NO,1,1,1,10,8,,,
172,I want your sickest most twisted jokes. How do you pick up a Jewish girl? Walk into Auschwitz with a dustpan.,True,NO,8,NO,2,9,1,1,8,15.0,0.0,15.0
173,Did you know squirrels die after they have sex? The one I fucked did.,True,NO,8,NO,2,8,1,1,6,8.0,0.0,8.0
174,"Constantine, son of Áed (Medieval Gaelic: Causantín mac Áeda; Modern Gaelic: Còiseam mac Aoidh, known in most modern regnal lists as Constantine II; born no later than 879; died 952) was an early King of Scotland, known then by the Gaelic name Alba",False,NO,8,NO,1,1,1,10,8,,,
175,Sister's cycle How do you know when your sister is on her period? Your Dad's dick tastes like blood!,True,YES,8,NO,2,9,1,1,8,4.0,0.0,4.0
176,How do you keep kids out of your yard? Molest them,True,YES,8,NO,1,10,2,1,8,5.0,0.0,5.0
177,What do anal sex and driving a car have in common? I sat on my dads lap the first time I tried it,True,YES,8,NO,6,8,7,2,8,22.0,0.0,22.0
178,"In European Christianity, the divine right of kings, divine right, or God's mandation is a political and religious doctrine of political legitimacy of a monarchy",False,NO,10,NO,1,1,1,10,8,,,
179,Amaranthus is a cosmopolitan genus of annual or short-lived perennial plants collectively known as amaranths,False,NO,10,NO,1,1,1,10,10,,,
180,"A man goes into a library and asks for a book on suicide. The librarian says; ""Fuck off, you won't bring it back.""",True,NO,10,NO,8,8,6,2,9,6.0,0.0,6.0
